i,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34
100,0.070131953,0.054937594,0.022678399,0.03121114,0.008312725,0.057231357,0.145780789,0.018323943,0.088116676,0.06014856,0.115340651,0.056880946,0.042581432,0.010083592,0.018416946,0.00156983,0.024780904,0.12975253,0.003917642,0.073962835,0.044921888,0.099577325,0.087759093,0.069455717,0.036516981,0.046054257,0.015547831,0.092085465,0.162944805,0.033386957,0.105590227,0.075085555,0.13215269
250,0.1522815,0.007672031,0.020094433,0.041576014,0.005499045,0.020378877,0.18281497,0.045371847,0.11816338,0.020557658,0.016344654,0.140479455,-0.002800827,0.010210283,0.029054277,-0.000143935,-0.009697136,0.17103508,0.034954825,0.107020955,0.006936706,0.005887013,0.166581126,0.020554646,0.033815709,0.056144594,0.011784804,0.05051645,0.194881856,0.056411599,0.130155248,0.034638583,0.029989759
500,0.102862273,0.008250016,0.00734663,0.024350622,0.009926294,0.055322791,0.043610595,0.011998118,0.032569185,0.152151105,0.029944597,0.08125507,-0.013397791,-0.011701156,0.003967673,0.001219675,0.004863726,0.024915662,-0.005996914,0.01290713,0.13162193,0.010690569,0.121232422,0.026764419,0.025578691,0.044144176,0.020310277,0.091161486,0.064310566,0.028968914,0.050259459,0.173952514,0.048297693
750,0.473380155,0.007278062,0.03435603,0.019685733,0.005598816,0.020407103,0.043457754,0.009246083,0.007843673,0.007353169,0.04002506,0.455558337,-0.007287559,0.01743168,0.004506487,-0.002066969,-0.016023725,0.025536792,-0.004964766,-0.007932022,-0.008396989,0.024201952,0.489572452,0.021268649,0.047056116,0.033391046,0.013213067,0.054514274,0.060732397,0.023377104,0.022580656,0.022463564,0.057994251
1000,0.175516487,0.013678083,0.009395707,0.004256849,0.01487077,0.008311164,0.01913789,0.032614773,0.012894035,0.01877604,0.023661859,0.160980322,-0.002316264,-0.004037947,-0.010278532,0.006381319,-0.019378976,0.004564232,0.01701596,-0.000816953,0.003800397,0.007252633,0.190866208,0.030209388,0.025801544,0.019435727,0.024331652,0.043355933,0.035334349,0.050132576,0.029502792,0.03425946,0.037034082
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.5,0.016625449,0.025436159,,,,,,,,,,0.003139659,0.011013735,,,,,,,,,,0.031095663,0.040926873,,,,,
,,,,2.25,0.01099809,0.009057279,,,,,,,,,,-0.000287871,-0.004309838,,,,,,,,,,0.023569608,0.022451756,,,,,
,,,,,0.019852589,0.024587907,,,,,,,,,,0.00243935,0.002161656,,,,,,,,,,0.040620555,0.040516216,,,,,
,,,,,0.011197632,0.009069823,,,,,,,,,,-0.004133937,-0.007121656,,,,,,,,,,0.026426134,0.024228566,,,,,
,,,,,0.02974154,0.003693851,,,,,,,,,,0.012762639,-0.008612878,,,,,,,,,,0.048663304,0.019269303,,,,,
