i,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34
100,0.075512074,0.064101038,0.021080203,0.02947924,0.008482,0.060138309,0.139291882,0.020883788,0.085914485,0.05808575,0.105587139,0.060890262,0.051231971,0.007184738,0.015997396,0.001620979,0.023340688,0.122816095,0.006018556,0.070816828,0.042739366,0.088884897,0.092824756,0.078879297,0.035297183,0.045300418,0.016370723,0.09656246,0.156914778,0.035818967,0.103459365,0.073715359,0.122940463
250,0.138758676,0.01292389,0.022250826,0.034247786,0.007155813,0.021795909,0.160168584,0.069230948,0.07352201,0.025901834,0.047397936,0.127301922,0.002525896,0.011652461,0.0223335,0.00152223,-0.007829569,0.145635894,0.05716642,0.061846952,0.011348723,0.035411708,0.151247046,0.0245108,0.033135957,0.047122444,0.012832906,0.048740331,0.172320537,0.080038457,0.085076456,0.038484547,0.059602006
500,0.195107547,0.043247194,0.020006842,0.066622852,0.017076338,0.142313115,0.063133299,0.040267279,0.024550622,0.164041531,0.055275731,0.17877441,0.027573369,0.002869123,0.050428319,0.009681496,0.108162248,0.045673135,0.025854715,0.00798311,0.144864903,0.037232106,0.210796398,0.05811298,0.033234114,0.080126975,0.025298106,0.183909034,0.080066142,0.056654952,0.040506634,0.180370218,0.073582426
750,0.319365491,0.01256218,0.057778458,0.034106982,0.005694426,0.033130469,0.053439366,0.008410556,0.010390135,0.008891314,0.090556353,0.301274573,-0.005763745,0.039647523,0.016481481,-0.003404245,-0.004843516,0.033921334,-0.00947519,-0.008091915,-0.006808164,0.071278729,0.335966524,0.030586069,0.074968335,0.050848492,0.014528198,0.077986137,0.072820409,0.025514855,0.029026494,0.026386337,0.108867944
1000,0.319090466,0.020792013,0.021110118,0.038394603,0.009507884,0.161563049,0.023361853,0.021507401,0.023406624,0.021683501,0.0503371,0.302589964,0.004568738,0.005131217,0.021086246,0.001239495,0.127244704,0.008389347,0.002925262,0.006185338,0.005157208,0.029455575,0.333446312,0.038093478,0.039648841,0.054419114,0.018336049,0.201160109,0.0398018,0.036871503,0.039806819,0.037378964,0.068379775
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.5,0.016964,0.026728137,,,,,,,,,,0.003241959,0.010373639,,,,,,,,,,0.032741445,0.042916649,,,,,
,,,,2.25,0.014311627,0.009687071,,,,,,,,,,0.00304446,-0.003479808,,,,,,,,,,0.025665812,0.021662369,,,,,
,,,,,0.034152676,0.063250273,,,,,,,,,,0.019362992,0.04807211,,,,,,,,,,0.050596213,0.081737349,,,,,
,,,,,0.011388852,0.014724653,,,,,,,,,,-0.006808491,-0.002152674,,,,,,,,,,0.029056397,0.034660505,,,,,
,,,,,0.019015769,0.0718058,,,,,,,,,,0.00247899,0.056553202,,,,,,,,,,0.036672097,0.089404493,,,,,
