i,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34
100,0.046531314,-0.004260882,0.074279378,0.042192272,0.062666982,0.051320151,-0.000942051,0.001631718,0.007958243,0.001575777,0.208043023,0.02875532,-0.022870286,0.056840246,0.021404071,0.054974385,0.006964734,-0.018768633,-0.017752429,-0.012680789,-0.017927214,0.190044505,0.062696627,0.013232512,0.092687185,0.060105231,0.071254378,0.095390494,0.015793781,0.019754027,0.02505433,0.019117957,0.229979164
250,0.310787012,-0.006452192,0.020477245,0.031340423,0.029573305,0.157710595,0.102726397,-0.00035444,0.002650365,0.010835883,-0.004160143,0.29278027,-0.023745241,0.00137081,0.013078926,0.020108043,0.113899385,0.087063035,-0.016614968,-0.015937999,-0.005314986,-0.020931549,0.330858363,0.010610942,0.038616643,0.047088151,0.037765469,0.200315836,0.120344749,0.015811959,0.019325655,0.027961133,0.01286877
500,0.18003538,0.003311012,0.033626303,0.06149405,0.077645215,0.031408468,0.005264066,0.063414309,0.017045459,0.018629558,0.207893491,0.150993179,-0.016639849,0.012811514,0.040756759,0.066368163,-0.018919382,-0.016256894,0.044011319,-0.003867379,-0.003261231,0.190419444,0.200803597,0.022113176,0.053265225,0.075970052,0.0878012,0.077377103,0.026550046,0.083103003,0.034456647,0.042317766,0.226099442
750,0.435501526,0.008842448,0.046324318,0.031993189,0.038532369,0.043909688,0.017877557,0.025360031,0.019384903,0.027691272,0.065653882,0.417835298,-0.012923343,0.025228111,0.012193128,0.029542267,0.00039214,-0.002362516,0.003436985,-0.001033172,0.005611381,0.047655906,0.451161738,0.02499522,0.064901297,0.049243088,0.046733224,0.087273193,0.034395085,0.041510373,0.036048547,0.04626297,0.081619455
1000,0.390717883,0.00236564,0.007265998,0.038691,0.095545745,0.168935433,0.009272261,0.014267697,0.010334603,0.00665351,0.005895571,0.368772652,-0.017876029,-0.011710657,0.020393762,0.08567372,0.127224048,-0.009145574,-0.003125007,-0.007899831,-0.012091032,-0.014277016,0.409960239,0.018104292,0.021835442,0.054334413,0.103563132,0.207878834,0.026124516,0.03109939,0.027353944,0.023015382,0.02626322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.5,0.125333964,0.022808956,,,,,,,,,,0.109948769,0.003095437,,,,,,,,,,0.142508756,0.042395775,,,,,
,,,,2.25,0.059146611,0.070093598,,,,,,,,,,0.040216086,0.050621949,,,,,,,,,,0.075530937,0.08902926,,,,,
,,,,,0.15529043,0.013959319,,,,,,,,,,0.132736326,-0.008408614,,,,,,,,,,0.175602399,0.034389824,,,,,
,,,,,0.077064739,0.019515417,,,,,,,,,,0.059084534,0.000174285,,,,,,,,,,0.093466447,0.038788086,,,,,
,,,,,0.19109149,0.075082415,,,,,,,,,,0.17134744,0.056544021,,,,,,,,,,0.207126263,0.092390593,,,,,
