i,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34
100,0.011503158,-0.004565767,0.038310437,0.036849853,0.020419078,-0.010422934,0.006246548,-0.000477362,-0.009119807,0.073997794,0.228107696,-0.010974127,-0.025718433,0.016132915,0.013605928,0.011430636,-0.054547133,-0.014209516,-0.020821218,-0.028413626,0.05388148,0.206353265,0.026569201,0.009427016,0.058381187,0.052919635,0.028873636,0.024727937,0.023395206,0.017466753,0.008483649,0.091350446,0.246293402
250,0.319531504,-0.001102205,0.058809995,0.028468467,0.022577559,0.246378193,0.090205504,0.011019537,0.014491572,-0.000749362,0.013380106,0.30263506,-0.018470037,0.037216242,0.009283236,0.013957088,0.199381493,0.073838511,-0.0054634,-0.005338287,-0.017316618,-0.001983049,0.335956617,0.015458348,0.075061692,0.046681089,0.030042103,0.290904404,0.109180332,0.02684854,0.030103937,0.013819349,0.027540935
500,0.219323029,0.000659753,0.022332447,0.051580729,0.067559691,0.020833101,0.006860722,0.072973431,0.027171567,0.016876646,0.124671758,0.19698152,-0.019090209,0.005494673,0.034082083,0.059780478,-0.019371377,-0.012322804,0.054339248,0.008228733,-0.002580804,0.109381534,0.237133472,0.016303659,0.038797489,0.067007574,0.075178385,0.055640453,0.021579811,0.087263475,0.044353241,0.032620422,0.1379897
750,0.315549888,0.010457483,0.033685198,0.049159878,0.050660794,0.045472894,0.019974709,0.03276749,0.030881907,0.025985798,0.090835616,0.292976586,-0.007589427,0.015633516,0.03156302,0.04090296,0.003778736,0.003624247,0.014108354,0.010917822,0.008683286,0.072533088,0.335103885,0.030321647,0.053723973,0.068423051,0.059592149,0.091017295,0.039914585,0.050664702,0.049238141,0.042525581,0.108721165
1000,0.348367938,0.002843683,0.006134344,0.018829048,0.0625078,0.065181951,0.013680365,0.011804582,0.000861625,0.003839951,0.073928469,0.328569642,-0.013491383,-0.00892247,0.003858989,0.053660132,0.031223909,-0.001476323,-0.00693962,-0.015839566,-0.010527589,0.067090037,0.365226013,0.017257613,0.021465505,0.032362336,0.070025919,0.101137941,0.02803444,0.026520235,0.015916972,0.018367314,0.089026554
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.5,0.040838155,-0.004632415,,,,,,,,,,0.022861272,-0.02424317,,,,,,,,,,0.057747271,0.010990194,,,,,
,,,,2.25,0.045155118,0.109501419,,,,,,,,,,0.027914176,0.088613997,,,,,,,,,,0.060084206,0.129290846,,,,,
,,,,,0.135119381,0.009259156,,,,,,,,,,0.119560955,-0.008609501,,,,,,,,,,0.150356769,0.02472909,,,,,
,,,,,0.101321587,0.020210175,,,,,,,,,,0.081805919,0.001679438,,,,,,,,,,0.119184297,0.040452131,,,,,
,,,,,0.1250156,0.028969756,,,,,,,,,,0.107320263,0.013877293,,,,,,,,,,0.140051837,0.044950196,,,,,
