i,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34
100,0.394901244,0.213315109,0.182467667,0.149706689,0.167097758,0.019312195,0.300125445,0.149909024,0.242922936,0.252675917,0.367305908,0.146051036,0.115922787,0.098071374,0.078946398,0.087801957,0.004511678,0.170791705,0.077851177,0.134430187,0.140964124,0.210947851,0.974453059,0.38746473,0.334814335,0.281567272,0.310766517,0.067142693,0.52394829,0.282916592,0.430595105,0.449812541,0.638625655
250,0.608278089,0.152404695,0.195125697,0.178072545,0.187740459,0.121193754,0.37672737,0.218019128,0.290943301,0.217437568,0.20249899,0.294311192,0.079173174,0.109507493,0.096331844,0.103057619,0.035209938,0.227991512,0.125379287,0.171024251,0.121791601,0.113286735,1,0.273654424,0.336480815,0.314608866,0.335528073,0.352752288,0.616215435,0.377750257,0.489206477,0.372959226,0.350049688
500,0.770113818,0.286992319,0.345555232,0.298936566,0.413268099,0.161774572,0.358015255,0.324318054,0.336942723,0.528995103,0.480992441,0.479388906,0.174469697,0.212656983,0.184395393,0.263326986,0.069391034,0.22205039,0.199907247,0.206652386,0.34206125,0.307840977,1,0.463519551,0.553504231,0.48146243,0.650823238,0.345000496,0.560532713,0.523026297,0.535390772,0.803564424,0.746573568
750,0.655268414,0.166541742,0.260261115,0.170837769,0.218613095,0.14180987,0.220055409,0.17417864,0.187108704,0.202411121,0.292057187,0.41867303,0.107026278,0.172642391,0.107781828,0.143469213,0.070042928,0.143278522,0.110148686,0.121746601,0.13049513,0.198969425,0.97927834,0.256527943,0.386493559,0.262970092,0.33193496,0.276600182,0.327579317,0.266537043,0.284638826,0.303795699,0.426039219
1000,0.723078331,0.290274796,0.412882233,0.325957465,0.558770881,0.322145648,0.329638703,0.303205651,0.306663375,0.340575132,0.54640489,0.514133612,0.211901316,0.326575161,0.250012067,0.461692294,0.171559245,0.245998932,0.221356152,0.224857933,0.259375093,0.440168152,0.965212565,0.377597908,0.513030778,0.417005864,0.674877935,0.552315805,0.418998281,0.38686021,0.393547054,0.434621401,0.664336185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.78,0.506283646,0.273480909,0.233932907,0.191931653,0.214227896,0.024759224,0.384776212,0.192191057,0.311439662,0.323943483,0.47090501,0.308954114,0.245221281,0.207458676,0.167001995,0.185734909,0.009543935,0.361290146,0.164685183,0.28437155,0.298193339,0.446235839,0.757150784,0.301060396,0.260150998,0.218777989,0.241465825,0.052169925,0.407108228,0.219826412,0.334572731,0.349504694,0.49621263
0.88,0.691225101,0.173187153,0.221733747,0.202355164,0.213341431,0.137720175,0.428099284,0.247749009,0.330617388,0.247088145,0.230112489,0.518389031,0.13945275,0.192882517,0.169675407,0.181521943,0.062017505,0.401575959,0.220838516,0.301235897,0.214519296,0.199539136,0.836521218,0.200626411,0.246686814,0.230651661,0.245988324,0.258616047,0.451770847,0.276943004,0.358655775,0.273430517,0.256634669
0.95,0.810646124,0.302097178,0.36374235,0.31467007,0.435019051,0.170289023,0.376858163,0.341387425,0.354676551,0.55683695,0.506307833,0.731698857,0.266295853,0.324581711,0.281445599,0.401920136,0.10591263,0.338919017,0.305121588,0.3154168,0.522093487,0.469862544,0.873699361,0.336493322,0.401817953,0.349519005,0.472466961,0.250454081,0.4069203,0.379692412,0.388668437,0.583349854,0.541977182
0.85,0.770904016,0.195931461,0.306189547,0.20098561,0.257191877,0.166835141,0.258888717,0.204916047,0.220127887,0.23813073,0.343596691,0.664951282,0.169982912,0.274196738,0.171182903,0.227862868,0.11124465,0.227560005,0.174942031,0.193362248,0.207256971,0.316010263,0.853401604,0.223553763,0.336813559,0.229167836,0.289267939,0.24104591,0.285472171,0.23227629,0.248051264,0.264745707,0.371276008
1.05,0.68864603,0.276452186,0.393221174,0.310435681,0.532162744,0.306805379,0.313941622,0.288767287,0.292060357,0.324357269,0.52038561,0.548409186,0.226028071,0.348346838,0.266679538,0.49247178,0.182996528,0.262398861,0.236113229,0.239848461,0.276666766,0.469512696,0.820758984,0.321086656,0.436250662,0.354596823,0.573875795,0.469656296,0.356291055,0.328962763,0.334648855,0.369576021,0.564911722
