i,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34
100,0.37373318,0.238220794,0.21727185,0.182720874,0.192145002,0.021361348,0.336027918,0.1875187,0.278809734,0.281089204,0.421127419,0.146298531,0.129182674,0.118267696,0.095957893,0.100437313,0.003088596,0.190381432,0.098666781,0.152944774,0.155816873,0.240781573,0.895537859,0.434033214,0.398393371,0.341081698,0.358049273,0.069670213,0.589674548,0.347273063,0.496094793,0.504521892,0.73322131
250,0.612908673,0.13428287,0.184460798,0.152170495,0.177601489,0.180188662,0.342613657,0.227620998,0.22983291,0.208007083,0.204028314,0.320347337,0.070145206,0.104424985,0.081785203,0.098083218,0.06096403,0.205766757,0.133206324,0.133116296,0.11670495,0.11498286,1,0.241945111,0.319050032,0.272684899,0.317415497,0.403675418,0.560783466,0.38876176,0.395860361,0.356253794,0.350887485
500,0.719714554,0.199759328,0.234524567,0.202482947,0.264241164,0.199482905,0.245882803,0.224049133,0.197889045,0.386223155,0.349817528,0.433236544,0.118332401,0.140957485,0.118773019,0.163086431,0.083949201,0.150916852,0.133967981,0.114744424,0.24838755,0.221427976,1,0.330177076,0.37992257,0.337456067,0.425461642,0.408962848,0.395452353,0.368531458,0.32915944,0.601505584,0.552571601
750,0.805602916,0.242591049,0.371686489,0.245445763,0.284731139,0.18101938,0.311870991,0.233864132,0.248751581,0.267761593,0.488189938,0.63061266,0.181102931,0.290194766,0.182380772,0.21943402,0.101133498,0.239578241,0.174610986,0.183391621,0.199944832,0.395212453,1,0.31135026,0.466800498,0.318092368,0.364368378,0.298499526,0.397698513,0.305841258,0.322456208,0.343169414,0.594662928
1000,0.615761529,0.244257823,0.330424407,0.264521898,0.330053278,0.357342797,0.270495261,0.249397369,0.252200775,0.249332801,0.502686259,0.483435938,0.193427827,0.275920961,0.211537775,0.276339302,0.240356255,0.216603858,0.197806273,0.19813604,0.197609228,0.439859686,0.741002563,0.290617158,0.382173509,0.310158318,0.384543326,0.473371525,0.320711637,0.294793701,0.299104921,0.295482984,0.560855737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.88,0.424696795,0.270705448,0.24689983,0.207637357,0.218346593,0.024274259,0.381849906,0.213089432,0.316829243,0.31941955,0.478553886,0.274309747,0.242217513,0.22175193,0.179921049,0.188319961,0.005791118,0.356965184,0.185000214,0.286771451,0.292156637,0.45146545,0.616761611,0.298920946,0.2743756,0.234904751,0.246590408,0.04798224,0.406111948,0.239168776,0.341663081,0.347466868,0.504973354
0.85,0.721069028,0.157979847,0.217012704,0.179024112,0.208942928,0.211986661,0.403074891,0.26778941,0.270391659,0.244714215,0.240033311,0.584162791,0.127911847,0.190422032,0.149137723,0.178857632,0.111169701,0.375221733,0.242905651,0.24274148,0.212814908,0.209674627,0.834540158,0.183639553,0.242163212,0.206971461,0.240922578,0.306395004,0.4256421,0.29507534,0.300463272,0.270401362,0.266328262
0.95,0.757594267,0.210272977,0.246867965,0.213139944,0.278148594,0.209982005,0.258824004,0.235841193,0.208304258,0.40655069,0.368228977,0.661255778,0.180612613,0.215145634,0.181285134,0.248921395,0.128132991,0.230346774,0.204477445,0.175136226,0.379117839,0.337969015,0.827403701,0.239692977,0.275805858,0.244977181,0.308865076,0.29688773,0.287079748,0.267536449,0.238954222,0.436664671,0.401140908
1.05,0.767240873,0.231039094,0.353987132,0.233757869,0.271172514,0.172399409,0.297019992,0.222727745,0.236906268,0.255011041,0.464942798,0.690671009,0.198350829,0.317832363,0.199750369,0.240332499,0.110765259,0.262395217,0.191240603,0.200857489,0.218987197,0.432851734,0.832425357,0.257847007,0.386584263,0.263430532,0.30175435,0.247204576,0.329356947,0.253284685,0.267044479,0.284198272,0.492474474
0.98,0.628328091,0.249242676,0.337167762,0.269920304,0.33678906,0.364635507,0.276015572,0.254487111,0.257347729,0.254421226,0.512945162,0.517967076,0.2072441,0.295629601,0.226647616,0.296077824,0.257524559,0.232075562,0.211935293,0.212288614,0.211724173,0.471278235,0.720119109,0.282426781,0.371402827,0.301417218,0.373705856,0.460030636,0.311673117,0.286485618,0.290675337,0.287155476,0.545049307
