i,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34
100,0.593507384,-0.008473053,0.035031045,-0.008476301,-0.008473053,0.029097391,-0.008476305,-0.008473053,-0.008473053,-0.010332244,-0.008473053,0.463929924,-0.022694753,0.003025885,-0.022707401,-0.022694753,-0.019437658,-0.022707433,-0.022694753,-0.022694753,-0.027271518,-0.022694753,0.701190105,0.008761053,0.076915451,0.008850688,0.008761053,0.101107429,0.008850673,0.008761053,0.008761053,0.008866357,0.008761053
250,0.583396219,0.019579404,0.077449157,0.018849225,0.018851294,0.159467329,0.018849355,0.018849294,0.018861088,0.018849276,0.018860909,0.45199572,0.000116811,0.027339882,-0.002134101,-0.002153836,0.04118246,-0.002133609,-0.002133192,-0.002056247,-0.002133229,-0.002055369,0.741533951,0.036658336,0.132957224,0.039305455,0.039286011,0.289782746,0.039302718,0.03930656,0.039288533,0.039301419,0.039289821
500,0.608794879,-0.004375918,0.035725673,-0.004108733,-0.004136381,0.05289121,-0.00410684,-0.004106667,-0.004136173,-0.004108814,-0.004106859,0.561825512,-0.016091238,0.016286289,-0.01538736,-0.015688275,0.017118563,-0.015363175,-0.015361576,-0.015682503,-0.015385862,-0.015365779,0.652485705,0.004918803,0.061882493,0.004815544,0.004897772,0.092824993,0.004826486,0.00482554,0.004900934,0.004814973,0.004827182
750,0.777992628,0.008651779,0.060742339,0.009006171,0.009006958,0.095547098,0.009006023,0.009005163,0.009006093,0.009698186,0.009006139,0.686212996,-0.006533287,0.031709672,-0.005119399,-0.005117163,0.044699971,-0.005120091,-0.005122181,-0.005120746,-0.005240606,-0.005119864,0.840040773,0.02374283,0.095191236,0.021795525,0.021792965,0.172615046,0.02179519,0.021793611,0.021794342,0.023402267,0.021793964
1000,0.653778589,0.020934207,0.10603725,0.023209739,0.023334114,0.152030251,0.023196198,0.023209794,0.023332304,0.023209844,0.02331829,0.543873166,-0.004264095,0.060237311,0.006825582,0.00692146,0.086719054,0.006727814,0.006834075,0.006914334,0.006829355,0.00700666,0.745557556,0.039207372,0.148683263,0.043765682,0.04326041,0.244458113,0.043792773,0.043763207,0.043254979,0.043762469,0.043145669
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.85,0.698243982,-0.009968298,0.041212994,-0.009972119,-0.009968298,0.034232224,-0.009972124,-0.009968298,-0.009968298,-0.012155581,-0.009968298,0.545799911,-0.02669971,0.003559865,-0.026714589,-0.02669971,-0.022867833,-0.026714626,-0.02669971,-0.02669971,-0.032084138,-0.02669971,0.824929535,0.010307121,0.090488766,0.010412574,0.010307121,0.118949917,0.010412557,0.010307121,0.010307121,0.010431008,0.010307121
0.95,0.614101283,0.020609899,0.081525428,0.01984129,0.019843468,0.167860346,0.019841427,0.019841362,0.019853777,0.019841343,0.019853588,0.475784969,0.000122959,0.028778823,-0.002246423,-0.002267196,0.043349958,-0.002245905,-0.002245466,-0.00216447,-0.002245504,-0.002163546,0.780562053,0.038587722,0.139954973,0.041374164,0.041353696,0.305034469,0.041371282,0.041375326,0.041356351,0.041369915,0.041357706
0.8,0.760993599,-0.005469897,0.044657091,-0.005135916,-0.005170476,0.066114012,-0.005133549,-0.005133334,-0.005170216,-0.005136017,-0.005133573,0.70228189,-0.020114047,0.020357861,-0.0192342,-0.019610344,0.021398204,-0.019203969,-0.01920197,-0.019603129,-0.019232327,-0.019207223,0.815607131,0.006148504,0.077353117,0.00601943,0.006122215,0.116031242,0.006033108,0.006031926,0.006126167,0.006018716,0.006033978
1.05,0.74094536,0.00823979,0.057849847,0.008577306,0.008578055,0.090997236,0.008577165,0.008576346,0.008577231,0.009236368,0.008577275,0.653536187,-0.006222178,0.030199688,-0.004875618,-0.004873488,0.042571401,-0.004876278,-0.004878267,-0.004876901,-0.004991053,-0.004876061,0.800038831,0.022612219,0.09065832,0.020757643,0.020755205,0.164395282,0.020757324,0.02075582,0.020756516,0.022287873,0.020756157
1.1,0.594344172,0.019031097,0.0963975,0.021099763,0.021212831,0.138209319,0.021087453,0.021099813,0.021211186,0.021099858,0.021198446,0.494430151,-0.00387645,0.054761192,0.006205075,0.006292236,0.078835504,0.006116195,0.006212796,0.006285758,0.006208504,0.006369691,0.677779596,0.035643066,0.135166603,0.039786983,0.039327645,0.222234648,0.039811612,0.039784734,0.039322708,0.039784062,0.039223336
