i,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34
100,0.742577869,0.248872202,0.362199948,0.282156419,0.371967539,0.269283146,0.253712776,0.262477362,0.273771367,0.296117298,0.597901825,0.41023498,0.132928999,0.205574142,0.154150563,0.217422603,0.148665141,0.136529956,0.141187016,0.149632681,0.16067962,0.359766093,1,0.437312202,0.6117363,0.485811223,0.623382605,0.460152413,0.444246477,0.457205807,0.473727106,0.515050012,0.985862829
250,0.684878648,0.210246747,0.271344376,0.241456255,0.287336908,0.330365454,0.357342596,0.246321926,0.242846406,0.263671401,0.170980815,0.376739534,0.111777868,0.15325384,0.132625401,0.167925395,0.200933648,0.217465667,0.140194562,0.138517084,0.147892747,0.091208744,1,0.347556187,0.436404897,0.396114555,0.462682425,0.524697035,0.563902637,0.406416195,0.395965876,0.428945823,0.287713013
500,0.71662842,0.273016188,0.243752256,0.324682808,0.37360705,0.30135313,0.218976333,0.256280805,0.233608368,0.307416174,0.319047617,0.483708635,0.16776268,0.156694893,0.20470706,0.250306452,0.187028747,0.135358509,0.163707315,0.150781002,0.193346706,0.21302939,1,0.421790991,0.370609327,0.494759952,0.547458834,0.46940169,0.335129894,0.382981412,0.354444825,0.466605227,0.473878507
750,0.831626507,0.216215268,0.300457924,0.235369735,0.296080653,0.26161999,0.255193333,0.220726608,0.229135999,0.25937378,0.408468167,0.584483727,0.14155045,0.207298484,0.155760858,0.201150324,0.176695737,0.174450834,0.147023768,0.155073262,0.174838872,0.287083676,1,0.310035752,0.403081335,0.326069904,0.403096004,0.365109428,0.345274595,0.3054392,0.317947747,0.360417576,0.525730998
1000,0.654361525,0.222629667,0.232432244,0.257978807,0.393021684,0.299194252,0.241585053,0.225109697,0.224554401,0.22931257,0.377336587,0.53089944,0.173495934,0.182215787,0.205331072,0.336822617,0.247601526,0.189817444,0.17405286,0.168100652,0.180608206,0.331417163,0.769420864,0.271204592,0.278990712,0.310767011,0.450594809,0.352050048,0.292684136,0.272942773,0.270538412,0.278415915,0.431072881
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.85,0.873621022,0.292790825,0.426117585,0.331948729,0.43760887,0.316803701,0.298485619,0.308796897,0.322083962,0.348373291,0.703413911,0.748075552,0.242399939,0.374870493,0.281098086,0.396476512,0.271095256,0.24896639,0.257458676,0.272859594,0.293004014,0.656044053,0.962208156,0.33192577,0.464315977,0.368737171,0.473155677,0.349261793,0.337188977,0.34702528,0.359565166,0.3909298,0.748282982
0.95,0.720924892,0.221312366,0.285625659,0.254164479,0.302459903,0.34775311,0.376150101,0.259286238,0.255627796,0.277548843,0.179979805,0.575023499,0.170608324,0.233913756,0.202428243,0.256307182,0.306688199,0.331921282,0.213981173,0.211420812,0.225731035,0.139213347,0.862309641,0.252309391,0.316809362,0.287560476,0.335885608,0.380905289,0.409366706,0.29503898,0.287452542,0.311394427,0.208866071
0.88,0.814350478,0.310245668,0.2769912,0.368957736,0.424553466,0.342446739,0.248836742,0.291228187,0.265464055,0.349336562,0.36255411,0.742053019,0.257363202,0.24038421,0.314039241,0.383992852,0.286919101,0.207652259,0.251141903,0.231311765,0.296611423,0.32680645,0.871501822,0.355042921,0.311960713,0.416464606,0.460823934,0.395119268,0.282095871,0.322374926,0.29835423,0.392765343,0.398887632
1.05,0.792025244,0.205919303,0.286150404,0.224161653,0.281981574,0.249161895,0.243041269,0.210215817,0.218224761,0.247022647,0.389017302,0.69581396,0.16851244,0.246783909,0.185429593,0.239464671,0.210352067,0.207679564,0.175028296,0.184611026,0.208141514,0.341766281,0.868631501,0.256758387,0.33381477,0.270037188,0.333826918,0.302368056,0.285941694,0.252951719,0.263310763,0.298482464,0.43538799
0.92,0.711262527,0.241988769,0.252643744,0.280411747,0.427197482,0.325211144,0.262592449,0.244684453,0.244080871,0.249252794,0.410148464,0.605917839,0.198011664,0.20796367,0.234345246,0.384417117,0.282588698,0.216639474,0.198647285,0.191854005,0.206128931,0.378247849,0.79650193,0.280750095,0.288810261,0.32170498,0.466454254,0.364441044,0.302985648,0.282549455,0.280060468,0.288215233,0.446245219
