i,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34
100,0.631191189,0.211541372,0.307869956,0.239832956,0.316172408,0.228890674,0.21565586,0.223105758,0.232705662,0.251699703,0.508216551,0.432387669,0.140107164,0.216675146,0.162474694,0.229163424,0.156693058,0.143902573,0.148811115,0.157712845,0.16935632,0.379193463,0.834234471,0.299770461,0.419335367,0.333015757,0.427318721,0.315427057,0.304523795,0.313407207,0.324732291,0.353058476,0.675793068
250,0.650634716,0.19973441,0.257777157,0.229383442,0.272970063,0.313847181,0.339475466,0.23400583,0.230704086,0.250487831,0.162431774,0.37146518,0.110212978,0.151108286,0.130768645,0.16557444,0.198120577,0.214421148,0.138231838,0.136577844,0.145822249,0.089931822,0.870393793,0.254674792,0.31977945,0.290256356,0.339034536,0.384476276,0.413204519,0.29780497,0.29014741,0.31431375,0.210824191
500,0.63063301,0.240254245,0.214501985,0.285720871,0.328774204,0.265190754,0.192699173,0.225527108,0.205575364,0.270526233,0.280761903,0.444044527,0.15400614,0.143845911,0.187921082,0.229781322,0.17169239,0.124259112,0.150283315,0.13841696,0.177492276,0.19556098,0.814854204,0.331965132,0.291683267,0.389394407,0.430870378,0.369436515,0.263759639,0.301420556,0.278961205,0.367235595,0.372959936
750,0.873207832,0.227026031,0.31548082,0.247138222,0.310884686,0.27470099,0.267953,0.231762938,0.240592799,0.272342469,0.428891575,0.496811168,0.120317883,0.176203711,0.132396729,0.170977775,0.150191376,0.148283209,0.124970203,0.131812273,0.148613042,0.244021125,0.969067019,0.286446075,0.372412103,0.301260238,0.372425656,0.337329362,0.319003703,0.282199261,0.29375607,0.332994499,0.485729726
1000,0.602012603,0.204819294,0.213837664,0.237340502,0.361579949,0.275258712,0.222258249,0.207100921,0.206590049,0.210967564,0.34714966,0.3790622,0.123876097,0.130102072,0.146606386,0.240491349,0.17678749,0.135529656,0.124273742,0.120023865,0.128954259,0.236631855,0.778580637,0.274433218,0.28231203,0.314466619,0.455959033,0.35624112,0.296168471,0.276192092,0.273759107,0.28173039,0.436204701
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.85,0.742577869,0.248872202,0.362199948,0.282156419,0.371967539,0.269283146,0.253712776,0.262477362,0.273771367,0.296117298,0.597901825,0.508691375,0.164831958,0.254911936,0.191146699,0.269604028,0.184344774,0.169297145,0.1750719,0.185544524,0.199242729,0.446109956,0.981452319,0.352671131,0.493335726,0.391783244,0.502727907,0.371090655,0.358263288,0.368714361,0.382037989,0.415362913,0.795050668
0.95,0.684878648,0.210246747,0.271344376,0.241456255,0.287336908,0.330365454,0.357342596,0.246321926,0.242846406,0.263671401,0.170980815,0.391015979,0.116013661,0.159061354,0.137651205,0.174288884,0.208547976,0.225706472,0.145507198,0.143766152,0.153497104,0.094665076,0.916203993,0.268078728,0.336609947,0.305533006,0.356878459,0.404711869,0.434952125,0.313478916,0.305418326,0.330856579,0.221920201
0.88,0.71662842,0.273016188,0.243752256,0.324682808,0.37360705,0.30135313,0.218976333,0.256280805,0.233608368,0.307416174,0.319047617,0.504596053,0.175006977,0.163461263,0.213546684,0.261115139,0.195104989,0.141203536,0.170776494,0.157292,0.201695768,0.222228386,0.925970686,0.377233104,0.331458258,0.442493644,0.48962543,0.419814222,0.299726863,0.342523359,0.317001369,0.417313176,0.423818109
1.05,0.831626507,0.216215268,0.300457924,0.235369735,0.296080653,0.26161999,0.255193333,0.220726608,0.229135999,0.25937378,0.408468167,0.473153493,0.11458846,0.167813058,0.126092123,0.162835976,0.143039406,0.141222104,0.119019241,0.125535498,0.14153623,0.232401071,0.92292097,0.272805786,0.354678193,0.286914512,0.354691101,0.321266059,0.30381305,0.268761201,0.279767686,0.317137618,0.462599739
0.92,0.654361525,0.222629667,0.232432244,0.257978807,0.393021684,0.299194252,0.241585053,0.225109697,0.224554401,0.22931257,0.377336587,0.41202413,0.134647931,0.141415296,0.159354767,0.26140364,0.192160315,0.147314843,0.135080154,0.130460723,0.140167673,0.257208538,0.846283301,0.298296976,0.306860902,0.341811542,0.495607645,0.387218609,0.321922251,0.300208796,0.297564247,0.306228685,0.474135545
