i,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34
100,0.591004507,-0.008511314,0.034620252,-0.008511314,-0.008533378,0.029534265,-0.008531307,-0.008530881,-0.008511314,-0.008511314,-0.008511314,0.459749936,-0.025619514,0.002378229,-0.025619514,-0.0257876,-0.016083536,-0.025701166,-0.025739975,-0.025619514,-0.025619514,-0.025619514,0.693007655,0.006647675,0.07723499,0.006647675,0.007006057,0.102914697,0.006980235,0.00704063,0.006647675,0.006647675,0.006647675
250,0.521986091,0.017518414,0.069296614,0.016865097,0.016866948,0.142681294,0.016865213,0.016865158,0.01687571,0.016865142,0.01687555,0.404417224,0.000104515,0.024462,-0.00190946,-0.001927117,0.036847464,-0.001909019,-0.001908646,-0.0018398,-0.001908678,-0.001839014,0.663477745,0.032799564,0.118961727,0.035168039,0.035150642,0.259279299,0.03516559,0.035169027,0.035152898,0.035164428,0.03515405
500,0.646844559,-0.004649413,0.037958527,-0.004365529,-0.004394905,0.05619691,-0.004363517,-0.004363334,-0.004394684,-0.004365614,-0.004363537,0.596939607,-0.01709694,0.017304182,-0.01634907,-0.016668792,0.018188473,-0.016323374,-0.016321675,-0.01666266,-0.016347478,-0.01632614,0.693266061,0.005226228,0.065750149,0.005116516,0.005203883,0.098626556,0.005128142,0.005127137,0.005207242,0.005115909,0.005128881
750,0.629803556,0.007003821,0.04917237,0.00729071,0.007291347,0.077347651,0.00729059,0.007289894,0.007290646,0.007850913,0.007290684,0.555505759,-0.005288851,0.025669735,-0.004144275,-0.004142465,0.036185691,-0.004144836,-0.004146527,-0.004145366,-0.004242395,-0.004144652,0.680033006,0.019220386,0.077059572,0.017643997,0.017641924,0.13973599,0.017643725,0.017642447,0.017643039,0.018944692,0.017642733
1000,0.505192546,0.016176433,0.081937875,0.017934799,0.018030906,0.117477921,0.017924335,0.017934841,0.018029508,0.017934879,0.018018679,0.420265628,-0.003294983,0.046547013,0.005274314,0.005348401,0.067010178,0.005198766,0.005280877,0.005342894,0.005277228,0.005414237,0.576112657,0.030296606,0.114891613,0.033818936,0.033428498,0.188899451,0.03383987,0.033817024,0.033424302,0.033816453,0.033339836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.85,,,,-0.010013311,-0.010039268,0.034746194,-0.010036832,-0.01003633,-0.010013311,-0.010013311,-0.010013311,0.540882278,-0.030140605,0.002797917,-0.030140605,-0.030338353,-0.018921807,-0.030236666,-0.030282324,-0.030140605,-0.030140605,-0.030140605,0.815303123,0.007820794,0.090864694,0.007820794,0.00824242,0.121076114,0.008212041,0.008283094,0.007820794,0.007820794,0.007820794
,,,,0.01984129,0.019843468,0.167860346,0.019841427,0.019841362,0.019853777,0.019841343,0.019853588,0.475784969,0.000122959,0.028778823,-0.002246423,-0.002267196,0.043349958,-0.002245905,-0.002245466,-0.00216447,-0.002245504,-0.002163546,0.780562053,0.038587722,0.139954973,0.041374164,0.041353696,0.305034469,0.041371282,0.041375326,0.041356351,0.041369915,0.041357706
,,,,-0.005135916,-0.005170476,0.066114012,-0.005133549,-0.005133334,-0.005170216,-0.005136017,-0.005133573,0.70228189,-0.020114047,0.020357861,-0.0192342,-0.019610344,0.021398204,-0.019203969,-0.01920197,-0.019603129,-0.019232327,-0.019207223,0.815607131,0.006148504,0.077353117,0.00601943,0.006122215,0.116031242,0.006033108,0.006031926,0.006126167,0.006018716,0.006033978
,,,,0.008577306,0.008578055,0.090997236,0.008577165,0.008576346,0.008577231,0.009236368,0.008577275,0.653536187,-0.006222178,0.030199688,-0.004875618,-0.004873488,0.042571401,-0.004876278,-0.004878267,-0.004876901,-0.004991053,-0.004876061,0.800038831,0.022612219,0.09065832,0.020757643,0.020755205,0.164395282,0.020757324,0.02075582,0.020756516,0.022287873,0.020756157
,,,,0.021099763,0.021212831,0.138209319,0.021087453,0.021099813,0.021211186,0.021099858,0.021198446,0.494430151,-0.00387645,0.054761192,0.006205075,0.006292236,0.078835504,0.006116195,0.006212796,0.006285758,0.006208504,0.006369691,0.677779596,0.035643066,0.135166603,0.039786983,0.039327645,0.222234648,0.039811612,0.039784734,0.039322708,0.039784062,0.039223336
