i,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34
100,0.790964501,0.27106752,0.358579768,0.291522889,0.287978776,0.255203059,0.292420609,0.272809712,0.263519609,0.369440145,0.63307252,0.430356528,0.14456519,0.204954668,0.160552347,0.155859743,0.134215219,0.161869363,0.142882165,0.138302871,0.209387783,0.380928805,1,0.486860061,0.620367215,0.509839021,0.511435319,0.465302271,0.527921954,0.484671502,0.474828796,0.635818259,1
250,0.793017382,0.171997956,0.285369874,0.206905652,0.248698562,0.370174215,0.341676982,0.206277299,0.209348028,0.196495492,0.197977786,0.436224723,0.088924283,0.168687529,0.111976338,0.137091642,0.225212377,0.206667774,0.1142874,0.114142115,0.104848597,0.105610125,1,0.298953904,0.461287223,0.353533654,0.411474305,0.588909361,0.540456202,0.34214824,0.348515554,0.334536697,0.333141384
500,0.692197906,0.17396055,0.192751861,0.191520658,0.298974573,0.193011294,0.184492286,0.213721894,0.18782525,0.208168364,0.308170993,0.467218568,0.103531117,0.121195517,0.119490177,0.199656009,0.116382379,0.112525175,0.132585513,0.118045769,0.132946451,0.205767024,1,0.283404921,0.310569607,0.306014522,0.457185627,0.313454158,0.299718685,0.335729267,0.302997154,0.32785803,0.457723558
750,0.752423982,0.228444267,0.274426053,0.258310841,0.322077906,0.277024189,0.254938362,0.234653492,0.250565318,0.260264515,0.369566437,0.52881861,0.148931749,0.185722273,0.168545714,0.222572792,0.187272291,0.172508877,0.15226581,0.166701487,0.170198075,0.259742374,1,0.342534557,0.398961664,0.379544901,0.458430486,0.40522848,0.375186302,0.345333675,0.368477302,0.385640686,0.517023238
1000,0.746825653,0.183604758,0.229450911,0.203120106,0.344274824,0.313062945,0.236016219,0.200407763,0.206519255,0.188363036,0.430655888,0.605917839,0.137500526,0.183725575,0.156491437,0.294104514,0.265897688,0.188222556,0.155522091,0.162927822,0.145944952,0.378247849,0.878143378,0.235635822,0.281567196,0.249755704,0.401746318,0.367191369,0.288888409,0.248861395,0.257623121,0.237700015,0.491985354
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,0.878849445,0.301186133,0.398421964,0.323914321,0.319976417,0.283558954,0.324911788,0.303121902,0.292799566,0.41048905,0.703413911,0.741169576,0.248973383,0.352977484,0.276506819,0.268425112,0.231148433,0.278775015,0.24607484,0.238188278,0.360612293,0.656044053,0.985074205,0.349003628,0.444707681,0.365476001,0.3666203,0.333550015,0.378438677,0.347434768,0.340379065,0.455783698,0.748282982
1.1,0.720924892,0.156361778,0.259427158,0.188096047,0.226089601,0.336522014,0.310615438,0.187524818,0.190316389,0.178632265,0.179979805,0.575023499,0.117218373,0.222360834,0.147605173,0.18071171,0.296870861,0.272425702,0.150651572,0.15046006,0.138209514,0.139213347,0.862309641,0.187431915,0.28920829,0.221651194,0.257977621,0.36922217,0.338844014,0.214513003,0.218505049,0.209740876,0.208866071
0.85,0.814350478,0.204659471,0.226766895,0.225318421,0.351734792,0.22707211,0.217049748,0.251437522,0.220970882,0.244903958,0.36255411,0.742053019,0.164431774,0.192486998,0.189778516,0.317100719,0.184842602,0.178716455,0.210576991,0.187484456,0.211150245,0.32680645,0.871501822,0.246975966,0.270648895,0.266679322,0.398418847,0.273162665,0.261192754,0.292574524,0.264049807,0.285715059,0.398887632
0.95,0.792025244,0.240467649,0.288869529,0.271906148,0.339029375,0.291604409,0.268356171,0.247003676,0.263752966,0.273962647,0.389017302,0.69581396,0.195962828,0.244371412,0.221770676,0.292858936,0.246410909,0.226985365,0.20034975,0.219344062,0.223944836,0.341766281,0.868631501,0.288450153,0.335967717,0.319616759,0.386046725,0.341245036,0.31594636,0.290807305,0.310296675,0.324750052,0.43538799
1.05,0.711262527,0.174861674,0.218524677,0.19344772,0.327880785,0.298155186,0.224777351,0.190864536,0.196685005,0.179393368,0.410148464,0.605917839,0.137500526,0.183725575,0.156491437,0.294104514,0.265897688,0.188222556,0.155522091,0.162927822,0.145944952,0.378247849,0.79650193,0.213728637,0.255389747,0.226535786,0.364395753,0.333053396,0.262030303,0.225724622,0.233671765,0.215600921,0.446245219
