i,V2,V3,V4,V5,V6,V7
5,0.388631051,0.531027755,0.034608552,0.126118462,0.73767588,0.85437831
10,0.242908001,0.781034758,0.150426456,0.623165998,0.352186279,0.899879365
20,0.235675217,0.723895671,0.109139252,0.608189755,0.37137691,0.846232383
30,0.19589557,0.544447758,0.138582782,0.490911349,0.262468657,0.611936864
38,0.221112786,0.584429208,0.160864168,0.542095893,0.266861117,0.646234067
,,,,,,
0.95,0.409085317,0.558976584,0.036430055,0.132756276,0.776500926,0.899345589
1.05,0.231340953,0.743842627,0.143263291,0.593491427,0.335415504,0.857027967
1.1,0.214250197,0.658086974,0.099217502,0.552899777,0.337615373,0.769302166
0.85,0.230465377,0.640526774,0.163038567,0.577542763,0.308786655,0.719925722
0.92,0.240339985,0.635249139,0.174852357,0.589234666,0.290066432,0.702428334
