i,V2,V3,V4,V5,V6,V7
5,0.448897153,0.595751598,0.090306629,0.246440319,0.806797802,0.914474724
10,0.256163205,0.770312444,0.155021985,0.621147151,0.406397763,0.893519019
20,0.363436664,0.804307473,0.264453152,0.69105634,0.493261165,0.894541115
30,0.379219839,0.788228106,0.320443435,0.710351109,0.438111726,0.849909752
38,0.374122921,0.781589516,0.318815316,0.721760156,0.427701416,0.84020379
,,,,,,
0.85,0.448897153,0.595751598,0.090306629,0.246440319,0.806797802,0.914474724
0.95,0.256163205,0.770312444,0.155021985,0.621147151,0.406397763,0.893519019
0.8,0.363436664,0.804307473,0.264453152,0.69105634,0.493261165,0.894541115
1.05,0.379219839,0.788228106,0.320443435,0.710351109,0.438111726,0.849909752
0.93,0.374122921,0.781589516,0.318815316,0.721760156,0.427701416,0.84020379
