"i","V2","V3"
10,0.765996567882468,0.18558465499672
60,0.821444882067357,0.0995449130971103
110,0.909969024974899,0.0475924332165708
160,0.887337357403048,0.0636719215387585
210,0.911790235627027,0.0444296573057689
260,0.890102361426726,0.0661206616320047
310,0.881700350423156,0.0735963376993331
360,0.183035338774034,0.694278993551964
410,0.161593040479627,0.690076208859496
460,0.168006697781941,0.688734533895908
510,0.176650371840464,0.687543377536484
560,0.168453442307802,0.673405182556805
610,0.152697902649928,0.698168879724926
660,0.0941490377460632,0.858360686889052
710,0.0825403942017383,0.866406863664281
760,0.0846048040541569,0.87520505620462
810,0.0940560474344124,0.859459905206694
860,0.0776301169842456,0.885157028995631
910,0.0792437489680361,0.875791222498029
960,0.0887204134002805,0.86459626067928
1010,0.0404859881409186,0.905456761445354
1060,0.0289078729999706,0.893400086967421
1110,0.0336996634546374,0.863862583721973
1160,0.0383428047962251,0.909424204271687
1210,0.0354925552283232,0.903159466991538
1260,0.0346018694784685,0.900351559675739
